,I1,C2,data_updated,C3_prime,industry_bin__Manufacturing,industry_bin__Other,industry_bin__Services
157,CVI,1.0,0,1,1,0,0
158,CXO,1.0,0,1,0,1,0
159,CYNO,1.0,0,1,1,0,0
160,CYTK,1.0,0,0,1,0,0
161,CZR,1.0,0,0,0,0,1
162,DBTK,1.0,0,0,0,0,1
163,DCIN,0.0,0,0,0,0,1
164,DCP,1.0,0,1,0,0,1
165,DDMG,0.0,0,0,0,0,1
166,DDUP,1.0,0,0,1,0,0
167,DEEP,1.0,0,1,0,1,0
168,DEIX,1.0,0,0,1,0,0
169,DEX,1.0,0,0,1,0,0
170,DG,1.0,1,0,0,1,0
171,DHX,1.0,0,1,0,0,1
172,DIVX,1.0,1,0,0,0,1
173,DK,1.0,0,1,0,1,0
174,DLB,1.0,0,1,1,0,0
175,DM,1.0,0,0,1,0,0
176,DMAN,1.0,0,0,0,0,1
177,DMD,1.0,1,0,0,0,1
178,DMED,0.0,0,1,1,0,0
179,DMND,1.0,0,1,1,0,0
180,DNKN,1.0,0,1,0,1,0
181,DOLE,1.0,0,1,0,1,0
182,DPZ,1.0,0,0,0,1,0
183,DRC,1.0,0,1,1,0,0
184,DRTX,1.0,1,0,1,0,0
185,DSUP,0.0,0,0,1,0,0
186,DSW,1.0,0,0,0,1,0
187,DTSI,0.0,0,1,0,1,0
188,DVAX,1.0,0,0,1,0,0
189,DVOX,1.0,0,1,0,0,1
190,DVR,1.0,0,1,0,1,0
191,DWA,1.0,0,0,0,0,1
192,DWRE,1.0,0,0,0,0,1
193,DWRI,1.0,0,1,0,1,0
194,DXCM,1.0,1,0,1,0,0
195,DYP,1.0,0,1,1,0,0
196,EBS,1.0,0,1,1,0,0
197,ECHO,1.0,0,1,0,1,0
198,ECYT,1.0,0,1,1,0,0
199,EDG,1.0,1,0,0,1,0
200,EDMC,1.0,0,1,0,0,1
201,EEEE,1.0,0,1,0,0,1
202,EGLT,1.0,0,1,1,0,0
204,ELOQ,1.0,0,0,0,0,1
205,EM,1.0,0,1,0,0,1
206,EMAG,1.0,0,0,0,0,1
207,ENPH,1.0,0,0,1,0,0
208,ENSG,0.0,0,1,0,0,1
209,ENTA,1.0,0,1,1,0,0
210,ENTR,1.0,0,0,1,0,0
211,ENV,1.0,0,0,0,0,1
212,EPAM,1.0,0,1,0,0,1
213,EPOC,1.0,0,1,0,0,1
214,ERII,1.0,0,1,1,0,0
216,ETRM,1.0,1,0,1,0,0
218,EVVV,1.0,0,0,1,0,0
219,EXA,0.0,0,1,0,0,1
220,EXAM,1.0,0,0,0,0,1
221,EXLS,1.0,0,1,0,1,0
