,C7_imputed,C3_imputed,C1,C4,words_per_sentence,real_word_per,non_real_word_per,short_sentences,short_sentences_per,long_sentences_per,long_words_per,pos_words_percent,neg_words_percent,uncertain_words_percent,total_shares,sales_per_share,outstanding_share_per,offering_share_per,C5_prime,C6_prime,C7_imputed_iqr_standardized,C3_imputed_iqr_standardized,C1_iqr_standardized,C4_iqr_standardized,words_per_sentence_iqr_standardized,real_word_per_iqr_standardized,non_real_word_per_iqr_standardized,short_sentences_iqr_standardized,short_sentences_per_iqr_standardized,long_sentences_per_iqr_standardized,long_words_per_iqr_standardized,pos_words_percent_iqr_standardized,neg_words_percent_iqr_standardized,uncertain_words_percent_iqr_standardized,total_shares_iqr_standardized,sales_per_share_iqr_standardized,outstanding_share_per_iqr_standardized,offering_share_per_iqr_standardized,C5_prime_iqr_standardized,C6_prime_iqr_standardized,I1
105,0.0012544110036963227,0.16882671764637835,0.038998555609051515,0.0,0.6597310643303833,0.8670247728948345,0.13297522710516552,0.10856269113149847,0.12894452516672253,0.8710554748332775,0.5306583733345089,0.4359839771389305,0.34873848543157177,0.6475565514133819,0.009594457145615055,0.014993629929791637,0.7443492422856608,0.2556507577143391,0.03574522232726618,0.1939655172413794,0.07752240106145407,0.20584192439862536,0.400990099009901,0.0,1.0,0.0,1.0,0.27983539094650206,0.1796257072661952,0.8203742927338049,0.41227336141689275,0.4008007743317274,0.3844106654915592,0.7132226589451844,0.2801530489558136,0.10992867136632069,0.5178525018776154,0.4821474981223847,0.5181247316728564,0.019721787305792993,CARB
106,0.009566590878588306,0.1689578795971995,0.04092441020702937,0.8530217202935326,0.5334201492700601,0.9410985639654649,0.058901436034535175,0.2798165137614679,0.13945249597423512,0.860547504025765,0.6509857696642111,0.4878626455731743,0.4032636158818976,0.5479340261309387,0.017550421824335586,0.06840358578163093,0.7044439291068596,0.29555607089314045,0.02945234952169861,0.21839080459770124,0.591213798902795,0.37353951890034365,0.42079207920792083,0.8387594912511533,0.8255020409848277,0.6062917843423197,0.3937082156576812,0.7407407407407408,0.21017555888399064,0.7898244411160098,0.8316385207665842,0.5048331078944419,0.47693788658217373,0.5356878115729815,0.5124629887784105,0.5015139987366175,0.4026915212488511,0.5973084787511491,0.41398731995607363,0.07673933116544213,CATM
107,0.0036905541537987606,0.1689578795971995,0.0770341839191141,0.7971213948362227,0.3794365169712548,0.9369132975629411,0.06308670243705902,0.3409785932721712,0.2626811594202898,0.7373188405797101,0.5171723807910746,0.4362178074534124,0.8256049752811416,0.1643070459571344,0.010168331280094364,0.042077561854438374,0.7615789768150787,0.23842102318492137,0.03907996662279133,0.3486590038314177,0.22807566133170193,0.37353951890034365,0.792079207920792,0.7342619972360427,0.5364884321555787,0.5552681781498308,0.44473182185016924,0.9053497942386832,0.5684385815262627,0.4315614184737373,0.36527196701731945,0.40126967444052813,1.0,0.0,0.2969098686540219,0.30849970891984435,0.5675750316943988,0.43242496830560145,0.5733096448918318,0.38083289841690415,CBEY
108,0.00524060189044552,0.16903313645422802,0.02985074626865672,0.5393113531190685,0.3076818661245204,0.8880629247902214,0.11193707520977864,0.1834862385321101,0.26786231884057976,0.7321376811594204,0.6563566794554353,0.3878848063555114,0.6312535600751605,0.4025349289272264,0.007389692062996081,0.07698149049053879,0.7300305258811071,0.269969474118893,0.033282984256953994,0.4137931034482759,0.32386836559740784,0.4697594501718213,0.3069306930693069,0.25232377825469254,0.4018113221153685,0.0,1.0,0.4814814814814815,0.5835017801587556,0.4164982198412446,0.8503572208228702,0.3043474703042151,0.8638287715480596,0.27657566342242323,0.21577508043163135,0.5644045510693474,0.4765307506836023,0.5234692493163979,0.47737846083674806,0.5328796820426351,CBOU
109,0.07975008641613907,0.16896217998902968,0.03996148290804044,0.8744792995710112,0.4241111761699896,0.9407508570916678,0.05924914290833209,0.20795107033639146,0.20930769674923497,0.790692303250765,0.7631368090538557,0.26623318145530306,0.32883743864366416,0.8129643790452641,0.14851764400497505,0.07488131569371552,0.894735123727797,0.10526487627220314,0.09765209262823724,0.3300492610837439,1.0,0.3790378006872852,0.4108910891089109,0.878871301760011,0.6203388017402385,0.6020528048144342,0.3979471951855642,0.5473251028806585,0.413265770828795,0.586734229171205,1.0000000000000002,0.06039937367745224,0.35063929179889175,1.0,1.0,0.5490067170469745,0.9518444743750907,0.048155525624910045,1.0,0.33739096023812387,CCO
110,0.011367722882752448,0.16885682038918975,0.19836302359171884,0.6451058458007943,0.21726017203172132,0.9139321531437122,0.08606784685628785,0.26299694189602446,0.3411141500833099,0.6588858499166901,0.6703813480250366,0.43106266470622945,0.4427859541138844,0.5565006496835404,0.05320455743126032,0.0290046536971893,0.8109706386678786,0.1890293613321214,0.05179350778754439,0.44636015325670503,0.7025234710756287,0.24432989690721646,1.0,0.45009113068778395,0.23209782895979103,0.27509942664758036,0.7249005733524194,0.6954732510288066,0.7964670249420085,0.20353297505799173,0.8992360094355816,0.39093206273952424,0.5440058990271993,0.5509541803042939,1.0,0.21265317733612826,0.7101122469360615,0.2898877530639385,0.7836992891066009,0.6089030738555006,CDL
111,0.0034999269626371354,0.16905678860929413,0.12518054886856042,0.6730461468768864,0.49237503013714345,0.9458912709510505,0.05410872904894947,0.10244648318042815,0.1560372551476423,0.8439627448523578,0.5092746119645423,0.5733027846469053,0.3561195522537121,0.5225817483137372,0.001562812104884815,0.12999699906403075,0.8527723391267521,0.147227660873248,0.0686813067849719,0.30106100795755975,0.2162949311540292,0.5,1.0,0.5023214427761998,0.7484639959125352,0.6647208472285051,0.33527915277149445,0.26337448559670784,0.25839247356196315,0.7416075264380368,0.3377466553803039,0.6761662842466707,0.39693607526309493,0.4905081420147781,0.04563328278855602,0.953097912622439,0.8307459278502867,0.16925407214971372,1.0,0.26972178730579294,CDM
112,0.16520347505319408,0.1686783541282364,0.03322099181511796,0.4065276684377556,0.3560652178484134,0.939993791210951,0.06000620878904913,0.5688073394495413,0.23886812249983616,0.761131877500164,0.632957919197789,0.5851131540004285,0.7374583492060953,0.1261929583520932,0.07946732540010834,0.28627246299629194,0.7014621294788865,0.2985378705211134,0.02904688692339994,0.29655172413793107,1.0,0.016151202749140836,0.3415841584158416,0.004104073239086348,0.4926225783522802,0.5928232295271432,0.40717677047285794,1.0,0.49920687563221566,0.5007931243677848,0.7688078386925861,0.6998496269608714,1.0,0.0,1.0,1.0,0.394086477412777,0.6059135225872232,0.407277534641896,0.2591954715163193,CE
113,0.0034999269626371354,0.16881596666680285,0.05007221954742417,0.8232504806835593,0.8304451663242551,0.9258054468299272,0.0741945531700729,0.07339449541284404,0.043072745865510104,0.95692725413449,0.5446841475497156,0.4645618386474645,0.40741474336749534,0.5636666147616677,0.008779424035629962,0.04493210799428164,0.6253021642654102,0.3746978357345897,0.020805316691572238,0.12068965517241387,0.2162949311540292,0.1920962199312714,0.5148514851485149,0.7831065069882721,1.0,0.4198496535119567,0.580150346488042,0.18518518518518523,0.0,1.0,0.461156003426749,0.45810798191229923,0.4839822033488276,0.5637244700837689,0.2563545153549191,0.3294283610191823,0.1742997978962335,0.8257002021037665,0.2708921636130571,0.0,CEMP
114,0.012103506686422278,0.16907829056844514,0.03322099181511796,0.7684959596516819,0.18603367872117993,0.895988013519953,0.10401198648004695,0.25076452599388377,0.3212665406427221,0.6787334593572779,0.4817216721089249,0.6056781858298901,0.45737143041053213,0.39231476821077127,0.007981984343376096,0.16749703696201781,0.5901260464607989,0.4098739535392011,0.018001220333812715,0.4556650246305419,0.7479947934369108,0.5274914089347079,0.3415841584158416,0.6807509269979833,0.17348847296506298,0.05633803237322965,0.943661967626767,0.6625514403292182,0.738764016960257,0.26123598303974327,0.24171912245303107,0.7410887010462464,0.5687569372891129,0.2583625668584575,0.23306970020043077,1.0,0.07278659330261794,0.9272134066973827,0.22448866144101579,0.6306240429448908,CENF
