,C7_imputed_normalized,C1_normalized,C4_normalized,C3_imputed_normalized,words_per_sentence_normalized,real_word_per_normalized,non_real_word_per_normalized,short_sentences_normalized,short_sentences_per_normalized,long_sentences_per_normalized,long_words_per_normalized,pos_words_percent_normalized,neg_words_percent_normalized,uncertain_words_percent_normalized,total_shares_normalized,sales_per_share_normalized,outstanding_share_per_normalized,offering_share_per_normalized,C5_prime_normalized,C6_prime_normalized,C7_imputed_iqr_standardized_normalized,C1_iqr_standardized_normalized,C4_iqr_standardized_normalized,C3_imputed_iqr_standardized_normalized,words_per_sentence_iqr_standardized_normalized,real_word_per_iqr_standardized_normalized,non_real_word_per_iqr_standardized_normalized,short_sentences_iqr_standardized_normalized,short_sentences_per_iqr_standardized_normalized,long_sentences_per_iqr_standardized_normalized,long_words_per_iqr_standardized_normalized,pos_words_percent_iqr_standardized_normalized,neg_words_percent_iqr_standardized_normalized,uncertain_words_percent_iqr_standardized_normalized,total_shares_iqr_standardized_normalized,sales_per_share_iqr_standardized_normalized,outstanding_share_per_iqr_standardized_normalized,offering_share_per_iqr_standardized_normalized,C5_prime_iqr_standardized_normalized,C6_prime_iqr_standardized_normalized,I1_normalized
505,2.323163350821943,2.039367768553919,1.948048442902911,0.06918769493484005,-0.08775166343895958,0.18261555082259387,-0.15997311165965764,0.401586068452615,0.0030637469816245824,0.002898119275679987,-0.3796248543703913,-1.5593634324640833,0.8908779646841752,0.21445504836366602,2.089378203973266,1.3080524079840843,0.7542317770862017,-0.7378355092197901,0.7676315431367773,-0.6691118998762818,1.495367970522726,1.5870326167673503,1.9188727186548495,0.2956870750405239,-0.10353963660603135,0.20976220904726833,-0.19136172140169458,0.3881641975647076,-0.05837934832204166,0.07049910381037035,-0.41055675128588015,-1.6293666020875586,0.9368908031530895,0.23274970615639504,1.5417026398051767,1.4983011672661541,0.8371046041388269,-0.8288373258896125,0.899335507760378,-0.7792493066868531,SEM
506,-0.8429365746946003,1.694918972814987,0.08339821831813064,0.056015004631880756,-0.433814757911246,-0.41387879910184217,0.4343929817236746,0.012447854954395017,0.4527687713933304,-0.4562680622374888,-0.3696733256799181,0.08674690139755838,0.14498909350931258,-0.116858963090568,-0.9573824618256166,-0.8109760420756138,-0.7242336707861421,0.7081143497140006,-0.7456206863329455,-0.6211480676589647,-1.0849368481378503,1.5870326167673503,0.10954393993481272,-0.7739372701656554,-0.4678366081999171,-0.4823898069380631,0.48680339395169997,-0.0377287281705231,0.44204566600562833,-0.43297446909642234,-0.39891999208005496,0.0924825813194217,0.1436139059187628,-0.12140897946742424,-1.030980208374875,-0.8266250386593893,-0.8094276714747184,0.8084537376063227,-0.8009801195160196,-0.7272762498756493,SENO
507,-0.5107408246082961,-0.4417156059451282,1.3984039505917456,0.08234655873155139,-0.1900792385276713,-0.3562639544886011,0.37774951162948056,-0.2982188912908099,0.09626349692116574,-0.09205331408684565,-0.4357763821875778,0.6179693848459376,-0.9045489922901128,0.511175423195359,-0.5180426628742582,-0.24609656933014018,0.20096226985050444,-0.1925691232537318,0.17741686396477907,0.6071887723447983,-0.39038066325682647,-0.48504095661108704,1.4050895876284304,1.3967034913883782,-0.21220529267996432,-0.4134604849995041,0.4197977729672883,-0.35802382899156093,0.04254897417440066,-0.030569645993025252,-0.47632574059089433,0.672033919563969,-0.9377259315375551,0.5499879321747522,-0.4780468863955388,-0.1590591927035201,0.2695993334783059,-0.25668304526293667,0.18390274034649212,0.671478078923764,SFLY
508,-0.8007941860268866,0.10176339858710541,-2.2997502734854027,0.059641895759274394,1.5028172518757272,-1.2720203415340645,1.2586981624706597,-0.14811369313983774,-0.8392636384235109,0.8531644728960519,-0.021846060588811937,-1.3673045744928425,0.7495227444682506,0.25130636715442384,0.5970172584688515,-1.1058457787976306,0.484576335086787,-0.47108044709991875,0.47675063190871997,0.8150084936335722,-0.9881596859267063,0.13646159254144535,-1.9865282712776264,-0.482998105330148,1.7101494152033205,-1.5632318034086679,1.5409064634695608,-0.20525059409637889,-0.9117510959191537,0.9148496485954081,0.004281966267305628,-1.4332037394076915,0.7848506108972801,0.27214612344053135,0.7924695152561991,-1.1984679722820113,0.5666456098938216,-0.5547673897178623,0.5357477446665561,0.9208615238524386,SFSF
509,-0.598310715792205,-1.9326099529661709,1.3788700566604257,0.08729264810920799,-0.05616004820952314,0.05506760049705879,-0.03140668337673199,-1.2938743547997702,-0.6549005084222933,0.6685020125227024,-0.8108066050089058,1.1975756373238537,-1.409585773821897,0.4838771586132304,-1.0495987181480995,-0.020704476031981025,2.4378375030263846,-2.4671916351420573,2.5238674261389553,-1.1800993247137452,-0.5590894972700243,-1.9490794950942296,1.3865514552001026,1.8180145291506773,-0.06982459969835235,0.06567790821730524,-0.04894278790668929,-1.2943897598362677,-0.733440308748632,0.7399886123176077,-0.9204868979659891,1.3209977663506178,-1.4452106100433642,0.5207995724857971,-1.1518881964583374,0.0933494611972577,2.2014541891550223,-2.2659303347173805,1.7453977356263444,-1.3203782029187459,SGOC
510,-0.8106095239185712,-0.7315747680627882,1.799560210590131,0.04972590891669644,-1.5478174196831798,0.00505496317630256,0.018786856807132084,-0.0936416895173492,1.274273989436167,-1.2968649507890746,-0.23864040958224572,0.682329480592785,0.05586807885848712,-0.5000364592558592,0.05941356733147888,-1.0314420891807305,-0.24474497273410306,0.24209590856817076,-0.2774818885319338,1.5321977878681277,-1.0104564429969378,-0.7921508249414243,1.781531448844623,-1.2713874533072462,-1.5865074386492195,0.00861233649973725,0.007242836665658127,-0.14890931118479264,1.45429130255588,-1.4682743634415263,-0.24622961856892372,0.7432014783628461,0.05027144000905625,-0.5309319555470811,0.1992083736620628,-1.1029710958103898,-0.2269551595637393,0.23615974689027375,-0.3172923397028003,1.8093448223967665,SGTL
511,-0.8662916897178603,0.5089932726217185,-0.41758562475375743,0.018839479316735016,0.05920678472556418,0.1976881618835383,-0.17521891431297626,-1.024173033710185,0.06276933561825332,-0.057914507540682246,0.899133331526971,1.1970777621212363,-0.47784142155212306,-0.39813452136857386,-1.0802562875386779,-0.833497306345782,-0.1152026410929843,0.1160391205111296,-0.14727211193823006,-2.5520421014072467,-1.1397623276085256,0.6565939808102403,-0.4123288318418776,-1.5997520801248195,0.053981182055973,0.22665277523073796,-0.2081132363865001,-1.0523208935221553,0.006115789362471737,0.0059424383186466355,1.0415901096035385,1.3204322522223881,-0.5026808386157647,-0.4220308294497593,-1.19248478041032,-0.8544153750217521,-0.07857072237891022,0.08948883767599443,-0.17738825805258832,-2.056331570193151,SGXP
512,-0.5795403828122542,-2.058429249186011,-0.3505296761772404,0.07594993802921347,-1.011613971991716,-0.21271048334584128,0.23590332874212444,0.13158886394779828,0.8209694615072387,-0.8333194508417737,-0.15831286834332,-0.4158091716914138,-0.6187429713952705,1.0322972205973946,-0.976969696652561,-0.04142971897791502,0.17651294204371148,-0.16864268423177992,0.15196205743997704,0.22970137343758656,-0.5221200355319889,-2.0625677873833115,-0.34147248667060487,0.8577414607750025,-1.0573993275848295,-0.24368061279931602,0.2543896773476008,0.08952677362756423,0.8787958103787759,-0.8770197168328706,-0.15310634706353773,-0.44395915478719333,-0.6470023070176187,1.1072933457390495,-1.0565124650006272,0.0704278760734519,0.2433420376357412,-0.230464499853525,0.1548722248520557,0.22785354248586673,SHMR
513,0.9426645835939567,-0.0939038206754726,0.3006750163263753,0.05891660141127732,-1.5465506568021234,1.243463809860928,-1.260101079226796,0.8189816403186209,1.244495612970805,-1.2664862113795043,0.43435404878916906,-0.5169284726838355,2.0299537440567472,-1.8612235162788109,-0.0582540486153791,1.2922363523100888,-2.6652984320067397,2.7208148588163614,-2.533119715540763,-0.33493291203986075,1.4227762969325808,-0.09531311298470617,0.33070244931746845,-0.541406162822588,-1.5852755723318732,1.333323167326044,-1.341698973994886,0.8824807782244071,1.4151013275917605,-1.4277995540584252,0.5233031324303995,-0.550634968813986,1.9826000690870704,-1.9853326918644203,0.06510813005945598,1.4813656525048546,-1.8853270352665594,1.862853497784709,-2.469494842830529,-0.41296652405510875,SHO
514,-0.6332714841771265,0.36462359307203224,0.4750392470891214,0.06870453794882435,0.3391475275619933,-1.5119848951529533,1.4827661499452365,1.0840754363806442,0.8030063176020993,-0.8149215434164822,-0.2299788521710317,-0.27178239924193,0.4143664903757137,-0.13483789684617115,0.2530212386769406,-0.8078976292435552,0.7623090603394572,-0.745859429601762,0.7764255156196579,0.22970137343758656,-0.6291598211247139,0.4655255666378535,0.5060368282635449,0.25584783994917093,0.3590616212793563,-1.7672725744812041,1.744737060717289,1.221404266729079,0.8568794890208076,-0.8546386886431464,-0.2361709201984437,-0.29131186044560914,0.4275813597510146,-0.14062576847123692,0.41618504793722816,-0.8228339502556646,0.8450381720143315,-0.8369195204462073,0.9107171733724528,0.22785354248586673,SHOR
