,I1,C2,data_updated,industry_bin,C3_prime
148,CRU,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
149,CRYO,0.0,0,Manufacturing,0
150,CSCD,1.0,0,Manufacturing,0
151,CSIQ,1.0,0,Manufacturing,1
152,CSTE,1.0,0,Manufacturing,1
153,CTCT,1.0,0,Services,0
154,CTP,0.0,0,Services,1
155,CTRN,1.0,0,Retail Trade,1
156,CVGI,1.0,0,Manufacturing,1
157,CVI,1.0,0,Manufacturing,1
158,CXO,1.0,0,Mining,1
159,CYNO,1.0,0,Manufacturing,1
160,CYTK,1.0,0,Manufacturing,0
161,CZR,1.0,0,Services,0
162,DBTK,1.0,0,Services,0
163,DCIN,0.0,0,Services,0
164,DCP,1.0,0,Services,1
165,DDMG,0.0,0,Services,0
166,DDUP,1.0,0,Manufacturing,0
167,DEEP,1.0,0,Mining,1
168,DEIX,1.0,0,Manufacturing,0
169,DEX,1.0,0,Manufacturing,0
170,DG,1.0,1,Retail Trade,0
171,DHX,1.0,0,Services,1
172,DIVX,1.0,1,Services,0
173,DK,1.0,0,Retail Trade,1
174,DLB,1.0,0,Manufacturing,1
175,DM,1.0,0,Manufacturing,0
176,DMAN,1.0,0,Services,0
177,DMD,1.0,1,Services,0
178,DMED,0.0,0,Manufacturing,1
179,DMND,1.0,0,Manufacturing,1
180,DNKN,1.0,0,Retail Trade,1
181,DOLE,1.0,0,"Agriculture, Forestry and Fishing",1
182,DPZ,1.0,0,Retail Trade,0
183,DRC,1.0,0,Manufacturing,1
184,DRTX,1.0,1,Manufacturing,0
185,DSUP,0.0,0,Manufacturing,0
186,DSW,1.0,0,Retail Trade,0
187,DTSI,0.0,0,Other,1
188,DVAX,1.0,0,Manufacturing,0
189,DVOX,1.0,0,Services,1
190,DVR,1.0,0,Mining,1
191,DWA,1.0,0,Services,0
192,DWRE,1.0,0,Services,0
193,DWRI,1.0,0,Retail Trade,1
194,DXCM,1.0,1,Manufacturing,0
195,DYP,1.0,0,Manufacturing,1
196,EBS,1.0,0,Manufacturing,1
197,ECHO,1.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",1
198,ECYT,1.0,0,Manufacturing,1
199,EDG,1.0,1,Wholesale Trade,0
200,EDMC,1.0,0,Services,1
201,EEEE,1.0,0,Services,1
202,EGLT,1.0,0,Manufacturing,1
204,ELOQ,1.0,0,Services,0
205,EM,1.0,0,Services,1
206,EMAG,1.0,0,Services,0
207,ENPH,1.0,0,Manufacturing,0
208,ENSG,0.0,0,Services,1
209,ENTA,1.0,0,Manufacturing,1
210,ENTR,1.0,0,Manufacturing,0
211,ENV,1.0,0,Services,0
