,I1,C2,data_updated,industry_bin,C3_prime
653,WCG,1.0,0,"Finance, Insurance and Real Estate",1
654,WCRX,1.0,0,Manufacturing,0
655,WDAY,1.0,1,Services,0
656,WIFI,1.0,0,Services,1
657,WLDN,0.0,0,Services,0
658,WLK,1.0,0,Manufacturing,1
659,WLL,1.0,0,Mining,1
660,WLSC,1.0,0,Services,0
661,WMG,1.0,0,Services,0
662,WNR,1.0,0,Manufacturing,1
663,WOLF,1.0,0,Services,0
664,WSSI,0.0,0,Services,0
665,WSTC,1.0,0,Services,1
666,WTI,1.0,0,Mining,1
667,XCYT,0.0,0,Manufacturing,0
668,XGEN,1.0,0,Manufacturing,0
669,XPRT,1.0,0,Services,0
670,XRM,1.0,0,Manufacturing,0
671,XTNT,1.0,1,Manufacturing,0
672,XTXI,0.0,1,Mining,0
673,Z,1.0,0,Services,0
674,ZBB,0.0,0,"Transportation, Communications, Electric, Gas and Sanitary service",0
676,ZINC,1.0,0,Manufacturing,1
677,ZIP,1.0,0,Services,0
678,ZLTQ,1.0,0,Manufacturing,0
679,ZSTN,0.0,0,Manufacturing,1
680,ZUMZ,1.0,0,Retail Trade,1
681,ZZ,1.0,0,Manufacturing,1
