,C7_imputed_normalized,C1_normalized,C4_normalized,C3_imputed_normalized,words_per_sentence_normalized,real_word_per_normalized,non_real_word_per_normalized,short_sentences_normalized,short_sentences_per_normalized,long_sentences_per_normalized,long_words_per_normalized,pos_words_percent_normalized,neg_words_percent_normalized,uncertain_words_percent_normalized,total_shares_normalized,sales_per_share_normalized,outstanding_share_per_normalized,offering_share_per_normalized,C5_prime_normalized,C6_prime_normalized,I1_normalized
127,0.5099055227110876,0.9957435806197666,1.724216789477312,0.0456029014680765,-0.04346227378961937,-0.6156058114962499,0.6308926813834367,1.5235797363087118,-0.2332928081094587,0.24138692731950723,-0.37914625087323767,-0.6003518633164697,1.8644256593617197,-1.5940096399370505,0.0011006247289066298,0.4974469780229099,-1.4981442289709561,1.4750183148006497,-1.450968040139514,-0.4990335748655258,CNSL
128,-0.32155919149940787,-0.30905995058862035,0.21123866475530584,0.061555547423056155,-0.4878161447655109,1.0326262284594403,-1.0370282709810652,1.261453450040109,0.5082945747943161,-0.5120148678931378,-0.32532503628625553,-0.22282850059429934,-0.2268689864171573,0.5024591579411912,0.000525101278607244,-0.25222253613895773,-0.34411180620550064,0.3397879064402395,-0.29637707134175023,-0.7584952283115174,CNVO
129,-0.0219912351697336,-0.6120311481886157,0.10704437046103903,-2.0570028372301024,-0.8278378112990799,0.29027636170495563,-0.2700263040599736,-1.7548908985421892,0.6030806769143385,-0.6086639596023189,1.8041917827341232,1.1675136482789115,-1.1183259731322583,0.2446906461047311,0.0007929440643056273,-0.1434545240997782,0.400666521986289,-0.39122823867750944,0.3888411682313301,-0.19716083924999156,CNVX
130,-0.6897622467667356,0.21268078789796133,-0.05227372286751084,0.0639812479155528,-0.39640407253841087,0.983033049610405,-0.9849908401572005,-0.0138369956890197,0.2053743118317699,-0.2035306540419301,1.022815175729346,-4.926719577860005,0.9924060016076025,1.8746558634141117,0.002329663622927169,-1.1639090736740685,0.34236685406677553,-0.3337231009833496,0.33575740906084833,0.7009541738915498,COGT
131,-1.1119614111816332,-0.044795882271245736,-0.48139414177291456,0.04460126670770034,-1.1546190906203568,-0.3183657280654152,0.33956103032916196,-0.0304564028690122,1.2824744567837008,-1.3011585417573284,0.9626120891472566,2.050472526041763,-0.35152979904768067,-1.3375902442533618,0.0007474444475814012,-1.110241541327633,0.23446419389701312,-0.22745092086463872,0.2373944113861952,0.5712285105949428,COLY
132,-0.6621639915087875,0.7413922119809657,-0.03843186493756626,0.059533759596485776,0.6847198505052339,-0.5204201276212581,0.5380553636661938,-0.11515936088224395,-0.3020506766800709,0.3108619970411358,-0.4233920529340587,-1.5666536594118563,0.5458416696927129,0.6028767413541776,0.0005537252003242561,-0.7206341080585593,-0.28087147972432064,0.27792722240682355,-0.23724010447926808,0.8833804756213476,COMV
133,0.7104131892893809,-0.9189004553922827,-0.39873758116700203,0.06389253940899317,0.4040355895695089,-0.37305944878472913,0.39348220432127984,0.0996587521713508,-0.0720052746574807,0.078114932862171,-0.39089494451808665,-1.1967857460650375,0.8249257628561186,0.05612845629203102,0.0006445897743618373,1.5361020293224326,0.8338014730471474,-0.820702873149151,0.7834740193735553,0.6261124798581211,CONN
134,-0.0219912351697336,-0.4978202636225051,0.9294039591918886,0.05191956013067341,-0.2542068763481355,1.4114752328518891,-1.438282185863958,-1.8525541104361853,0.34038282168244777,-0.3409277200808662,0.634497436814456,-1.7545885624026296,0.9309073637145705,0.2904454333222211,0.0009145887608125574,-0.27143830719952433,0.7850974678650382,-0.7721923956779125,0.7389724747636026,0.6604149340121969,CONR
135,-0.0219912351697336,-0.8947451124501202,2.1201772195837782,0.05211409069829458,0.4400459952157386,1.051702289390649,-1.0570747318241918,-3.82295251020461,-1.1967575078116217,1.2061212015784764,2.204843447636666,-1.9835596608980888,0.2926092011172627,1.130468600762609,0.00065866696094201,0.039362922078926575,0.6783780372244903,-0.6661012563064284,0.6416327527932446,-1.1233640458420946,CORT
136,0.612230825092963,0.13186199941710974,-0.48847993901633274,0.07178612603979916,0.41491030849587757,-0.10931582401350624,0.1321582986617544,0.7565139562394768,-0.1393817732292019,0.1463697641459146,-0.5377976455501655,-0.4628119729142613,0.3414542741490683,0.08459940348659764,0.0005600662777652405,1.5106857178334765,-1.124571177716222,1.1045593714226833,-1.0563735859848629,0.5292583773034647,CPII
137,-0.6433591361329245,2.846375364941748,1.1566503074202001,0.0652150266398842,-1.3195741730481305,-0.2594566174518108,0.2813254389431252,0.29830181760104235,1.0669091567204319,-1.0817018568749859,0.16728579098889276,-0.9016561757759882,-1.5545006810309505,2.2347425754341645,0.0006912315572118623,-0.8127557715989472,0.5246804093233688,-0.5137720975547411,0.5016983761975168,0.9279735116564486,CPIX
138,1.1274453109868807,0.8386318116083922,-0.023404514724332998,0.0727013497032691,0.26403712028201,-0.5467310226680832,0.5637601411222097,0.719140332425267,0.6832540550849994,-0.6904373610588918,-0.07315576706202855,-0.5306564994810063,-0.012425507383849378,0.5054885461275201,0.0023420081707224484,0.8406630259679474,-0.7326051015945975,0.7197784722465015,-0.6664661655280563,0.44714278413507946,CPX
139,-1.9643998312350124,-0.3581726880742078,-0.7190299309509325,-0.01915197258562958,-0.8133815904791591,0.24246768952483083,-0.22151174422475994,-0.34900512871154166,0.839254054736621,-0.849572240892138,-0.4459757670735592,-1.5486756074051817,0.26379911113410187,0.8949660317414029,0.00031424582656171707,-1.2378924718997761,-0.7426287652293453,0.7295915986437098,-0.6762009022479375,-0.272005203248654,CRDC
